month	SGL	SGM	SGH	SML	SMM	SMH	SVL	SVM	SVH	MGL	MGM	MGH	MML	MMM	MMH	MVL	MVM	MVH	BGL	BGM	BGH	BML	BMM	BMH	BVL	BVM	BVH
1984m3	.04458595	.02760936	.04013165	.04971096	.04178759	.0557293	.05502026	.06408835	.03931644	.07399615	.04874339	.03855256	.01999925	.04663678	.02532755	.06195021	.03560194	.06920056	.11035717	.06585277	.04728002	.05144414	.05887194	.05898683	.05361372	.0557443	.05319762
1984m4	-.01236351	.00551329	.01443058	.03135599	.01630527	.00163858	.04055422	.00100564	-.01331871	.00023172	.03715688	.03625444	.03051307	.00521826	.00835647	.01172569	.01874588	.00819182	.01401203	.02371782	.06991327	.04333037	.02045345	.04565711	.03734427	.02313799	.03870809
1984m5	-.06311134	-.07075877	-.09658758	-.05216672	-.0432205	-.07929898	-.09440097	-.03285543	-.07805295	-.09957967	-.09650272	-.13518884	-.06686465	-.09911517	-.06496653	-.09892551	-.09894836	-.09620469	-.13384292	-.08957921	-.130353	-.11664466	-.078604	-.12239282	-.08375783	-.09837109	-.12615806
1984m6	.0288274	.03618379	.0054858	.01458296	.02392565	.01298233	.01366777	.03428735	.02984576	.01512007	-.00614987	.01552804	.04361841	.03295551	.00725007	.06097987	.06886361	.0019828	.00661863	.02180968	.02910459	.00552323	.02025614	.0035243	.04669315	.05065427	.02435421
1984m7	-.04498101	-.03334441	-.04328981	-.018007	-.03980621	-.03936573	-.06000098	-.0404103	-.04351383	-.03720737	-.04175352	-.05689904	-.02013689	-.04980485	-.00812658	-.0046025	.00299245	-.01279972	.00147229	-.03945459	-.04943469	-.04338014	-.02601856	-.01775663	-.03760972	-.01491897	.03771256
1984m8	.05776805	.04491329	.03827659	.04815928	.04733093	.06540157	.05009307	.07003433	.04658071	.11895843	.11251934	.11346917	.05246306	.09286908	.13477577	.08949517	.07099888	.11117075	.09808673	.10645599	.09762014	.09412091	.09960995	.08701724	.05446217	.09138989	.07168814
1984m9	.05408218	.02356242	.00799719	.0299031	.02443179	.01959081	-.00152448	.02131186	.01616243	.01077492	.01378076	.05757705	.05085925	.01137389	.00851034	.00204096	-.00843061	.01111339	.04286743	.07298157	.02398361	.02108068	.01518006	.03492422	.02577695	-.00178042	.02678393
1984m10	-.00918481	.05267188	.02253945	.02118365	.0313454	.03866365	.08171707	.00444319	.01313886	-.00101202	.02530913	-.00138766	.00865281	.05411812	.05097127	.0099376	.00889065	.04312316	-.0093725	.04051499	.07390032	.03713041	.0216274	.03273271	.03286247	.03500752	.04060981
1984m11	-.01672333	.03146976	.0322219	.03498065	.01577177	.04681793	.02043962	.04896802	.02590222	-.01050576	.07502891	.05083212	.01418224	.0564559	.08787644	-.00591324	.04111121	.0660483	.05110351	.03688821	.03662201	.04672597	.05634559	.03460826	.01312959	.04957893	.04570219
1984m12	.04032382	.02489299	.07127195	.02573387	.041735	.048998	.0756683	.05335161	.04643544	.0345876	.04012725	.0433539	.04031292	.03999719	.03291783	.0591903	.03808951	.06140052	.02491878	.03994152	.05783171	.03028875	.02824628	.08362585	.03557112	.05384768	.06228114
1985m1	.00110083	.00721501	.02622106	.04935449	.02709948	.02729533	.0564562	.04240997	.04888368	-.01237869	-.00968395	.05230768	-.00907079	.01805763	.02548512	.0622363	.00942824	.02804341	-.0187083	-.0241619	.04411247	-.00182565	.06929619	.04335254	.04211264	.02938517	.01964471
1985m2	.03817832	.00281852	.0396911	.02645481	.02580361	.0769603	.00297042	.03604537	.02738035	.00611259	.00937278	.03368696	.00943564	.00634523	.07280879	-.02908849	-.01568937	.04034914	-.03780856	-.03550186	-.02216913	-.00936599	-.00374458	.01762767	.00006953	-.00856336	-.00180173
1985m3	.02248199	.04577534	.04260904	.02909141	.01150453	.04151358	.08503015	.04837932	.04204765	.01024936	.05989612	.02682765	.02710169	.05609672	.05805616	.133043	.03134494	.0568084	.00441169	.02948218	.03360892	.02803377	.00899003	.00804294	.02022922	.03938994	.06092254
1985m4	.00435784	.00998248	.00515326	.04262841	.02951879	.04094848	.00984601	.05063721	.03415416	-.01424973	.02638265	-.01432414	-.00385348	.01331282	.05214755	-.02965413	.05286363	-.00988433	.0104651	.03604898	.02017532	.00726101	.00510596	.01871543	.04536689	.02546934	.02186076
1985m5	.03271741	.0366499	.03640819	.01736379	.04408891	.04231228	.0478611	.04002818	.04332737	.01155699	-.0129733	-.00159859	.04474117	.03836209	.01261912	.04538747	.02730527	.01882873	.02380413	-.01498318	.01521497	.04902057	.02985065	.04034135	.05088659	.01789905	.05737112
1985m6	-.06404773	-.0558037	-.02471092	-.02794466	-.05120105	-.0299254	-.04588246	-.02433134	-.03668342	-.08925251	-.10717946	-.11824676	-.04788906	-.05573246	-.03884197	-.06123969	-.07452524	-.05676811	-.11235445	-.12229407	-.09170099	-.06824908	-.02658331	-.05902746	-.04733502	-.03285167	-.03821094
1985m7	-.00036783	.00316036	.00994511	-.0001841	.007474	.00920678	.01532017	.01397164	.04413493	.01806591	.008106	.00766196	.01149018	.03361027	.04631572	.08455149	.04345907	.00614821	.02236998	.00739897	.02085172	.03160895	.01215212	-.02633848	.05200295	.02549188	.03909372
