date,rm,rf,rmrf,smb,hml,umd
20jul1989,-.0001103,.0004943,-.00060459,.00131102,-.00226045,.00015792
21jul1989,-.0031717,.0004926,-.0036643,.00237231,.00386173,-.00660362
24jul1989,-.0095869,.0004939,-.01008086,.00539042,-.00207797,-.00141105
25jul1989,.0040367,.0004936,.0035431,-.00207674,-.00245627,.00294721
26jul1989,-.0013355,.0004933,-.00182879,.00226702,.00020225,.000253
27jul1989,.007188,.0004922,.00669578,-.00554141,-.00283593,-.00035723
28jul1989,.0085613,.0004916,.00806974,-.00369311,-.00319909,.00075717
31jul1989,-.0016456,.0004912,-.00213685,.00356094,.00097415,.00092592
01aug1989,-.0023763,.0004906,-.0028669,.0013408,-.00119659,.00290356
02aug1989,.0057278,.0004912,.00523659,-.00186172,-.00407199,.00481693
03aug1989,-.0007667,.0004906,-.00125722,.0001474,-.00217724,.00485064
04aug1989,.0073574,.0004916,.0068658,-.00744401,-.00336936,.0013574
07aug1989,.0051955,.0004916,.00470394,-.00515409,-.00209411,-.00072306
08aug1989,.003112,.0004906,.00262146,-.00113192,-.00478843,.00070447
09aug1989,.0047884,.0004906,.00429788,-.00433498,-.0024397,.00101817
10aug1989,-.004524,.0004906,-.00501453,.0048919,-.00311329,.00011466
11aug1989,.0015778,.0004906,.00108722,-.00400685,-.00562901,.00724626
14aug1989,-.0085766,.0004899,-.00906646,.00127841,-.00116363,-3.782e-06
15aug1989,.0005432,.0004895,.00005368,.00151613,.0037606,-.0050078
16aug1989,.0073431,.0004889,.0068542,-.00401384,-.00160721,-.00150425
17aug1989,.0051741,.0004895,.00468455,-.00121974,-.00143556,-.00054407
18aug1989,.0053753,.0004902,.00488512,-.0056802,-.01126105,.00378771
21aug1989,-.00048,.0004906,-.00097055,-.00014742,-.00094466,-.00052736
22aug1989,-.0022144,.0004922,-.00270662,.00040358,-.00088522,.00080276
23aug1989,.0035562,.0004933,.00306293,-.00163467,.00050718,-.00020362
24aug1989,.0038234,.0004943,.00332907,-.00115296,.00212777,.00025913
25aug1989,.00142,.000495,.00092504,.0006416,-.00345432,-.00144242
29aug1989,-.0059503,.0004939,-.00644419,.00541078,-.00222832,.00117994
30aug1989,-.0007599,.0004943,-.00125418,-.00185546,-.00263081,.00137884
31aug1989,.0028818,.0004953,.00238651,-.00052103,-.00454339,-.00280449
01sep1989,.0077293,.0004956,.00723362,-.00266785,-.00030506,.00328075
04sep1989,.0054785,.0004983,.00498021,.00061258,-.00348567,.00274793
05sep1989,.0025471,.000499,.00204809,-.00177003,.00442197,.00128021
06sep1989,-.0130567,.000499,-.01355576,.01058903,-.00095973,-.00081224
07sep1989,.0025079,.0004994,.00200854,-.00560007,-.00334586,.00317695
08sep1989,.0106815,.0004963,.01018522,.00020912,.00451377,.00123451
11sep1989,-.0080149,.0004933,-.00850814,.00564101,-.00042282,.00144395
12sep1989,-.0012542,.0004939,-.00174813,-.0007404,-.00157037,-.0006591
13sep1989,.0010443,.0004929,.00055134,.00149574,-.00345909,.00126792
