month	SL	S2	S3	S4	SH	S2L	S22	S23	S24	S2H	M3L	M32	M33	M34	M3H	B4L	B42	B43	B44	B4H	BL	B2	B3	B4	BH
1991m1	-.06012309	-.04655969	-.04416286	-.03247296	-.02728883	-.06109766	-.02765161	-.05460036	-.04484852	-.03773992	-.05541137	-.02529817	-.03617962	-.03231954	-.08434071	.00171113	-.04139722	-.00384956	-.05872863	-.02270144	.0447602	.02989924	.01370014	-.00281223	.01908928
1991m2	.19062951	.13193437	.14327429	.12825935	.09442675	.22634892	.14478948	.15827089	.19831674	.16560325	.1585187	.17908995	.17926776	.23116675	.17653391	.17095983	.17600052	.14711097	.18901709	.13688816	.1038678	.10649782	.12632574	.11362291	.07962252
1991m3	.11742562	.08946091	.10852803	.10587447	.08969603	.07508331	.11252157	.08298678	.11205163	.06195844	.09899748	.04991086	.0500806	.1311513	.11419377	.03471593	.03219975	.05136888	.04946717	.04913491	.00204709	.0269182	.03998627	.01709482	.06932288
1991m4	.00999948	.01126992	-.0042597	.00007648	.04779158	-.00692583	-.01147933	-.02198898	.02033189	.04061751	.01680634	.00836416	-.0040687	-.02295824	-.00781782	-.00820308	.01622053	-.03286264	.00604413	-.00887929	-.01350179	.00455132	.026533	.0119382	.0244053
1991m5	-.04370439	-.00815044	-.00919126	-.00575209	.00449042	-.02083256	-.02334418	-.03401019	-.00913898	-.01869141	-.05060854	-.0224774	.00239107	-.0455809	-.03890851	-.03668855	-.0283064	-.02036356	-.03187147	-.00616861	-.03096445	-.01033562	.02519295	-.01143584	.04356312
1991m6	-.0551695	-.02963311	-.0264345	-.05125657	.00637538	-.07769409	-.01321906	-.04723199	-.03165655	-.0151363	-.03012365	-.02281823	-.05968196	-.02631395	-.08008525	-.03095989	-.0008362	-.06273147	-.00645957	-.00510096	-.05976868	-.01475683	-.03555128	-.026159	-.01708686
1991m7	-.00387465	-.02098253	.01539133	.02872763	.0127394	.02442491	.00847868	.03660439	-.02000354	.0089834	.03354719	.02580653	-.00154445	.03123773	-.03512048	.03181636	.09122294	.059423	.05511689	.05955031	.01830478	.05992673	.07099521	.08322777	.08129177
1991m8	.02372271	.0422753	.02783823	.03970975	.00838885	.03814507	.03472367	.07696858	.04047959	.03053822	.05455862	.05783291	.06429099	.08148966	.01775224	.0667548	.02961701	.00731455	.05673603	.01626075	.05137183	.00126464	.02224349	.02803796	.02748536
1991m9	.07804963	.08227838	.05626739	.07081861	.04610946	.10515119	.05005409	.08466763	.04734501	.08886411	-.00312572	.05241196	.07511165	.04740618	-.06765677	.03703111	.02312278	-.027666	-.018561	.01646386	-.07128975	.01731023	-.00171122	-.01005119	.01315305
1991m10	-.04708137	-.0038134	.001431	.01105753	.02170145	-.09610624	-.02266346	-.00741391	-.00001429	.06672423	-.05284107	-.01668026	-.00258298	-.01621564	.02876478	-.04689834	-.00603565	-.01993858	-.0188207	.00874899	.00907278	-.05852526	-.02782358	-.0250994	.0123598
1991m11	-.0248492	-.03314761	-.00717702	-.01546354	-.00254853	-.04617685	-.05694152	-.02741644	-.01835728	-.00098171	-.10642462	-.06773798	-.02598948	-.0416392	-.02835982	-.10799876	-.10317758	-.06309657	-.02208633	-.04952206	-.09131618	-.06875144	-.03808238	-.02158435	-.03934849
1991m12	-.07476955	-.0406454	-.01980458	-.01980346	-.01514081	-.12226376	-.05019942	-.01912696	-.05724445	-.01463132	-.09608677	-.0682223	-.02022132	-.02828249	-.03114976	-.01809478	-.02614591	.00071923	.00004007	-.00741693	-.01890312	.02129144	.01315077	.07713932	.02614873
1992m1	.00579926	-.01359597	.015102	-.00133844	.03712316	.07669763	.04027016	.05680665	.01343533	.06263484	.07985313	.03832768	.07507103	.07050223	.10514554	.02675959	.03416644	.05104715	.0499167	.08408166	.02418818	.05442141	.04095909	.03844048	.04225611
1992m2	.00712701	-.01977288	.00949586	.01745021	.04062387	.00785972	-.05599492	-.01024214	.0159793	.02634467	-.01203286	.00528641	.00627089	.03510008	.04051335	-.00170248	-.01498839	.0453486	.01998464	.04245204	-.00747842	-.00838182	.00570833	.02028021	-.0086932
1992m3	-.08753513	-.04533823	-.01804334	-.02425508	-.01163488	-.10557771	-.06481737	-.02631417	-.04651022	-.04331586	-.06502576	-.05117081	-.10345083	-.03132052	-.04570887	.00177298	-.03205162	-.02115743	-.05712933	-.05999439	-.02237821	-.03388163	-.05370318	-.04329384	-.03027705
1992m4	.14016729	.07261379	.08960896	.08155468	.08635911	.1341451	.1080324	.06675292	.10731167	.10435485	.16956149	.1742879	.10282443	.12794492	.0842372	.14646933	.17423492	.12639011	.16045419	.1344493	.15720765	.12509158	.0972478	.0914297	.064875
1992m5	.07168567	.04992034	.0589954	.0351105	.05633665	.02912386	.04869302	.05763634	.04839631	.02680151	.03612657	.03403551	.00604394	.03692863	.03148316	.03246491	.06016542	.01596923	.0104311	.01473662	-.021193	.00981925	.01662712	.00481199	.03001073
1992m6	-.11080158	-.06637293	-.03329041	-.06006381	-.04442142	-.15259691	-.10530069	-.0901755	-.0607163	-.06983169	-.14399686	-.07653847	-.04123365	-.07358037	-.10040141	-.12540039	-.09831542	-.05474616	-.05174891	-.08065436	-.09878162	-.08853029	-.09270422	-.03402987	-.08558361
1992m7	-.13834843	-.11917258	-.09014612	-.0882406	-.09528803	-.15245265	-.19719567	-.09303068	-.09059596	-.08382832	-.19470985	-.10663809	-.08054239	-.10581982	-.15953579	-.16467067	-.11011387	-.07607187	-.08629794	-.07793111	-.17607438	-.06562626	-.0327517	-.06134773	.00710471
1992m8	-.09229568	-.07382821	-.05693795	-.07990856	-.03552629	-.08331922	-.05839946	-.06749208	-.0595387	-.09036192	-.05701621	-.06884956	-.08013388	-.06436227	-.07204514	-.0891035	-.09502251	-.05635787	-.02160679	-.04006277	-.03400024	-.04700529	-.07278992	-.02043474	-.00789447
1992m9	.03049348	.03625753	.01439772	.08055534	.02427836	.01430031	.10844058	.08296113	.0567383	.05812571	.1153364	.0775979	.13880903	.12416665	.07395089	.06699823	.1026004	.09398567	.05107523	.09866562	.12975712	.13502463	.12358307	.04946571	.07733353
1992m10	.02157582	-.04542141	-.00602423	.00966289	.00677229	.03990284	.0372655	-.00884296	.00279036	.0296162	.11145374	.04638844	.02008248	.02870647	.02444513	.15737325	.02508832	.02153155	.04869695	.03939395	.05591142	.05387019	.02471958	.03841525	-.02271639
1992m11	.04211954	.04314952	.04610102	.01596421	.04213383	.0602955	.01797144	.01718062	.0158591	.02937053	.06825462	.05779709	.02604122	.04104001	.04632263	.06738538	.04169149	.04955993	.04800011	.0740629	.05531448	.04875591	.03758354	.04800862	.07880756
1992m12	.09509307	.09852767	.09353862	.1250673	.10887869	.09749379	.10157533	.11735907	.08799828	.11465819	.09394471	.10275512	.10483561	.12438107	.08758376	.13460077	.11207371	.08613505	.07970469	.0697324	.02852486	.03736708	.01962032	.04207468	.05880277
1993m1	.09925587	.08438757	.12100901	.09540877	.12093749	.03503354	.03952474	.07929324	.08889299	.07651336	.06115464	.01480874	.02064803	.04437758	.07240339	.08560518	.04461634	-.01332034	.0056646	.02830169	.02947954	.00253409	-.05760822	-.0118563	-.02168493
