month	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
1993m4	.07141079	.06717288	.06645415	.0520709	.02172447	.04943351	.03247959	.03377941	.02117277	-.00156063
1993m5	.09447841	.05715767	.07213741	.05963747	.0483949	.05618984	.02740225	.00476721	.01137712	.00148361
1993m6	.04441404	.07310004	.01435773	.03678363	.02310445	.01277087	.00801543	.01753776	.0301212	.02003739
1993m7	.02093843	.01939273	.01383641	-.0072056	.00474331	.0082891	-.00601452	.00581046	.01512435	.02822909
1993m8	.11125324	.07145095	.07436382	.07903123	.08748163	.10257946	.0840343	.07405465	.07049534	.06909119
1993m9	.01384903	.02171533	.01847195	.02792344	.00809045	.00362491	-.00085816	-.01436585	-.02533165	-.02644309
1993m10	.05549907	.01519889	.02516052	.01818878	.0275377	.03793677	.01061073	.01526615	.0227373	.03577126
1993m11	.06455353	-.00687656	.0012781	-.01589198	-.01321628	-.02837128	-.02939126	-.03840074	-.00794858	.00246804
1993m12	.03922533	.04849924	.05643678	.06825439	.05843166	.04370126	.06572864	.05750225	.0861675	.0791623
1994m1	.16572311	.15226514	.13690574	.11866072	.12747861	.1086039	.09710573	.12309694	.0940944	.0475547
1994m2	.0500229	.02035496	.00792441	.01825525	.00128278	.01941129	.01929427	-.00913117	-.01927742	-.03713688
1994m3	-.00840373	-.0309078	-.02780873	-.05296432	-.05167051	-.0689971	-.05630024	-.06788972	-.05159143	-.05010648
1994m4	.06689503	.03558989	.02306941	.01161197	.02570304	.02716696	.0169556	.0161701	.00845283	.01863422
1994m5	.0015417	.01177664	-.00124555	-.02418074	.00634517	-.02583895	-.02721289	-.03484144	-.05103625	-.05331641
1994m6	-.04231213	-.04149794	-.02763926	-.046211	-.03754349	-.04376921	-.04705197	-.04930837	-.03922113	-.01474969
1994m7	.01769793	.01160852	.01263047	-.0046451	.00367704	.02973693	.03861613	.03409696	.06619919	.07136898
1994m8	.06117541	.05961655	.02745212	.04508373	.03913013	.0339408	.03671783	.03305634	.03890384	.0662467
1994m9	.00661846	-.00688894	-.02381249	-.02566008	-.01434539	-.0330143	-.03051494	-.05213303	-.07969099	-.07800806
1994m10	-.0362123	-.01272991	-.02736809	-.02751277	-.00622045	-.02057858	-.01144221	-.02038279	.00879375	.01595324
1994m11	.00031315	-.01492865	-.00570317	-.02031243	-.00235113	-.01116729	-.00677648	-.00767835	.00653512	.00128763
