month,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
1987m10,-.17812419,-.20057641,-.20808333,-.20431366,-.22821511,-.23458558,-.24188803,-.25486777,-.2933948,-.26942416
1987m11,-.15074117,-.17373907,-.1644404,-.16408683,-.17249659,-.16989802,-.1689121,-.12971531,-.11733504,-.09581698
1987m12,.00609509,.02756392,-.00730134,.02513479,.04478354,.04799555,.06884804,.11363729,.13716296,.09817514
1988m1,.0437529,.04490518,.07490253,.06599049,.07364123,.06943639,.07388057,.07647945,.05486496,.05444644
1988m2,.00616509,.01102793,-.00071356,.02779359,.00571512,-.00098923,.00236058,.0040036,.00058879,-.00760378
1988m3,-.01052096,-.00345928,-.01225839,-.00542726,.00893259,.01883092,.00075692,.01718626,-.00025548,-.01160107
1988m4,.05721265,.02174885,.04990178,.0430755,.02981795,.03812142,.02733349,.04634079,.04538486,.04362217
1988m5,.02925715,.0337731,.01780405,.01857863,.02994316,.02803728,.03485404,.0289575,-.00076687,-.00353065
1988m6,.0416071,.06336306,.0638142,.04191088,.04887949,.04413198,.03688301,.02746193,.0474422,.04268311
1988m7,.04235823,.03874815,.02553567,.03195658,.03272066,.02222241,.01055011,.02159528,.01691312,.00353678
1988m8,.01277839,-.00057322,-.02339779,-.035974,-.04003303,-.02781873,-.04707692,-.06273209,-.06397645,-.04936174
1988m9,.01040976,-.00879984,-.00896366,-.00702734,.01552719,.00789612,.01663372,.02619375,.03724159,.05023318
1988m10,.06981757,.0371913,.02323189,.02657742,.030501,.03249673,.03476699,.03395697,.04285819,.02166116
1988m11,.00084762,-.03281019,-.0137827,-.02842195,-.01561699,-.02460148,-.02846098,-.02444642,-.03915858,-.03099501
1988m12,-.04537771,-.02803578,-.04433972,-.04140917,-.03176293,-.04949213,-.04032392,-.0294562,-.03301099,.00445563
1989m1,.06127294,.08942385,.09172413,.09192599,.07594605,.10992929,.1013168,.1071457,.13551482,.14453709
1989m2,.03884543,.03989631,.03406197,.03748193,.03682666,.03153748,.04088692,.04218637,.00842511,-.01258508
1989m3,.05160866,.03307232,.02899498,.0407312,.03151517,.02522698,.021474,.02993642,.02170318,.0377226
1989m4,.02230663,.02399982,.01995585,.01058435,.01008013,.00181886,.01854099,.00680039,.00657212,.02534546
1989m5,.02202094,.0210795,.04013156,.00789653,.0038036,.00466312,.00011098,-.0093574,.01264535,.00971201
1989m6,.00255014,-.00331933,.00295213,-.0020244,-.00390992,-.00704664,-.01320012,-.00048127,.00650532,.02022715
1989m7,.01836962,.0154418,.02044324,.02918271,.02627258,.03760279,.03423105,.04475736,.06776143,.06885748
1989m8,-.01384176,-.00542073,-.00956832,-.01717003,-.0046554,-.01090213,-.00135638,.00461729,.01087528,.03415736
1989m9,-.02166735,-.02691435,-.0098291,-.009006,-.02932453,-.01897072,-.01287951,-.01729062,-.01508138,-.03471472
1989m10,-.10075589,-.11879659,-.12936294,-.12303283,-.11657527,-.13106085,-.13274813,-.10495096,-.10512482,-.07530084
1989m11,-.01186762,-.01523529,-.03187213,-.01195572,-.01476442,-.00562609,-.00603567,.01349751,.03454339,.05629569
1989m12,.00739942,.01630832,.01788558,.01991422,.02045576,.02878822,.03271201,.03865212,.04847076,.0627783
1990m1,.01131322,.01399383,.00943085,.00220291,-.00443276,.01148422,.01026156,-.00106854,-.01761432,-.0346225
1990m2,-.0282149,-.04204251,-.03790661,-.03714222,-.04401129,-.03052225,-.02854111,-.04367909,-.04275747,-.03113952
1990m3,-.02378354,-.0424495,-.03431626,-.03479583,-.0301964,-.03088503,-.03393639,-.02365877,-.00529758,.00198065
1990m4,-.03963224,-.0313439,-.0460894,-.0541178,-.03855241,-.0583126,-.06318592,-.067028,-.05199779,-.05680906
1990m5,.01884755,.01110264,.00919961,.01977914,.02443278,.04847819,.04574269,.07233415,.09069308,.11956834
1990m6,.01401072,-.00207791,.00137666,.0201304,.02796445,.01809103,.04452777,.02274726,.03401285,.0210481
1990m7,-.03292225,.00575176,-.01459017,.00356148,-.01586519,-.01766438,-.01420399,-.00636357,-.01676229,-.01915185
1990m8,-.0851866,-.07834545,-.09546806,-.08625102,-.11217996,-.11345227,-.11954824,-.12270887,-.12689803,-.07721338
1990m9,-.06857377,-.07557724,-.09348094,-.10256981,-.08572613,-.09422441,-.08863856,-.08723976,-.09411431,-.07038802
1990m10,-.01193356,-.03077313,-.02461862,-.02267083,-.00255452,-.01075458,.00503646,.01789719,.03046369,.03225718
1990m11,-.04190344,-.05806888,-.02705883,-.05638918,-.02758894,-.01489898,-.02696183,.01514456,.0328983,.04168049
1990m12,-.01929383,-.0186812,-.00976291,-.0132296,-.02331108,-.00982891,-.00316925,.00650004,.01118525,.00705766
1991m1,-.06013858,-.07234893,-.05852351,-.0396848,-.04316873,-.05440312,-.03868798,-.04459391,-.02545401,.01229082
1991m2,.1185192,.11158209,.11063668,.09733718,.14859085,.15765945,.1602753,.16937029,.16689781,.10516366
1991m3,.09917913,.09196341,.08171182,.09064651,.12433976,.10948913,.11580461,.08131512,.06203779,.03543537
1991m4,.00437041,.01813697,.00525824,.00050187,.0169405,.01306795,.01875609,.00628193,-.00151213,.01328246
1991m5,-.06594433,-.01756082,.00422966,-.02657352,-.01983387,-.01304535,-.00368755,-.01869517,-.02281514,.00860537
1991m6,-.02819198,-.05360655,-.02048415,-.03024,-.05427678,-.02640471,-.03556641,-.03496817,-.03511623,-.02560981
1991m7,.01065944,.00927945,-.00878995,.00809885,.02975129,-.00086411,.00348075,.02027944,.04422529,.07598398
1991m8,.02051438,.03463756,.02199254,.01106528,.025253,.03397121,.04131533,.04885733,.04581544,.02601593
1991m9,.06953757,.06336935,.07357365,.05970504,.0567056,.08168217,.06972393,.06988937,.03005035,.00154856
1991m10,-.00150267,-.00454749,-.02123963,-.01576803,-.04450665,-.0053459,-.0052154,-.01011841,-.02129751,-.01676232
1991m11,-.00755919,-.02585117,-.0220021,.01675262,-.00978647,-.03830887,-.01793628,-.0257169,-.0542833,-.04631792
1991m12,-.00123842,-.03448755,-.03980944,-.03517931,-.02589779,-.05604415,-.03627864,-.04688069,-.01947705,.03040824
