month,S1,S2,S3,S4,S5
1992m7,-.10103625,-.09827974,-.10911074,-.08523573,-.03843771
1992m8,-.05728829,-.06679148,-.03568526,-.04114228,-.02795553
1992m9,.02875185,.08164066,.09689223,.07857847,.0963501
1992m10,.00307819,.02175822,.05041882,.06456588,.03750876
1992m11,.03429655,.03230371,.05702989,.05452262,.0469169
1992m12,.10449291,.10791646,.09183295,.09119467,.02925122
1993m1,.1033558,.05121863,.04919415,.02883426,-.0196266
1993m2,.03865962,.02006773,.02014025,.02670177,.01980111
1993m3,.03096253,.03046956,.03577002,.02865463,.01457525
1993m4,.03698063,.04341605,.01537599,.02468143,-.02341371
1993m5,.03684937,.01337079,.01508923,.00371478,.00664004
1993m6,.01891471,.02568716,.03039184,.01504653,.01664417
1993m7,.00599043,.00531782,.00771725,.04468673,.01461334
1993m8,.08878548,.0682727,.06424691,.06493806,.06747205
1993m9,.0019824,-.00456295,-.02562666,-.01853818,-.02468533
1993m10,.02261646,.01640297,.0195802,.02971795,.04334948
1993m11,-.02254296,-.03716202,-.01464905,-.0053522,.00508685
1993m12,.06209135,.04689049,.08073269,.09284971,.07113045
1994m1,.09665573,.11539552,.106908,.07066386,.02355487
1994m2,.0088079,-.00476878,-.00473316,-.04074614,-.03946613
1994m3,-.05740784,-.06664023,-.06537144,-.03892346,-.056224
1994m4,.0198056,.01612948,.01353862,.00869828,.0184089
1994m5,-.01911286,-.04641336,-.04825728,-.05800705,-.05091365
1994m6,-.04318565,-.05419298,-.05221029,-.0150407,-.01289011
1994m7,.02322609,.04879476,.05121573,.081504,.05899758
1994m8,.03808755,.03267303,.02055057,.06914515,.06370915
1994m9,-.02867004,-.05628881,-.06590594,-.08391805,-.07037699
1994m10,-.01709095,-.01860179,.00612362,.01727775,.0215172
1994m11,-.0067805,-.01421509,.0024046,.0016206,-.00222296
1994m12,-.00431358,-.0063941,-.0065775,.01475782,.00394907
1995m1,-.01171629,-.02411356,-.02073031,-.03113482,-.01797693
1995m2,-.00498488,-.02824226,-.00485766,.00298343,.00049602
1995m3,.00622004,.03923036,.05725215,.01179715,.04680897
1995m4,.03116165,.03028711,.01949076,.02925644,.02586477
1995m5,.05756043,.05432338,.02952494,.05254876,.0315738
1995m6,-.00261004,-.01480709,-.01422255,-.00964311,.00388552
1995m7,.04456904,.05095198,.05779317,.08347956,.04531694
1995m8,.0442514,.02071045,.00966763,.02971219,.01166599
1995m9,.01336652,.02136482,.0160921,.00182339,.00427716
1995m10,-.00608245,-.00183866,-.01369634,-.02026961,-.00348179
1995m11,.01304089,.00619522,.01112671,.01969698,.02680066
1995m12,.00761855,.01238116,.01254306,.02009525,.0185016
1996m1,.02696766,.05382925,.03692708,.01052864,.01745387
1996m2,.0246536,.02957524,.01838616,.02825014,-.00582303
1996m3,.02762914,.02748534,.04285559,.02443681,.00967654
1996m4,.07736811,.07106771,.07105028,.05099429,.03790485
1996m5,.01526599,-.01015321,-.01480559,-.01228084,-.02222312
1996m6,-.014593,-.0054728,-.02361357,-.02229136,-.00819656
1996m7,-.03845613,-.04233808,-.03922366,-.01355896,-.00521727
1996m8,.03470562,.04824788,.04293507,.04316289,.04462375
1996m9,.01315307,-.00879904,.00661805,-.00056556,.01874658
1996m10,.00575729,.01971291,.01712884,.00239328,-.00207089
1996m11,-.00473328,-.001252,-.00090696,-.00100511,.02590358
1996m12,.01063604,.01484941,.00704458,.02296836,.01571186
1997m1,.05912022,.06640566,.04004938,.00618196,.01750161
1997m2,.02083855,.01651159,.00449489,.00113326,.00896552
1997m3,-.01083204,-.0013743,-.01102712,-.01555431,.01877009
1997m4,-.00033939,.00334166,-.0104073,-.01661206,.0183892
1997m5,-.00621844,-.00725398,-.0023723,.00633991,.03346275
1997m6,-.03021372,-.01280233,-.00659671,-.00767862,.00801927
1997m7,-.01507839,-.01055997,.00056602,.02142695,.05464009
1997m8,.04022849,.05514335,.03134119,.02256133,-.00195007
1997m9,.04073008,.02133232,.06887077,.04521158,.0717379
1997m10,.00984154,-.00427742,-.0442136,-.03456347,-.05273476
1997m11,-.01708024,-.01483137,-.01135899,-.00215297,.00929952
1997m12,.0170858,.01728747,.02309853,.01478078,.04521461
1998m1,.02344163,.01839951,-.01439087,.01342074,.05650337
1998m2,.04376855,.05547915,.07723888,.05474611,.05140905
1998m3,.06573801,.06629836,.07536196,.0666614,.04081129
1998m4,.00697054,-.00020621,.03552852,.02121914,.01321082
1998m5,.06447877,.04544998,.05437694,.03544052,-.00207524
1998m6,-.05039128,-.04253268,-.07566076,-.07000293,.01355125
1998m7,-.05807979,-.04149206,-.02007421,-.03304944,.00458716
1998m8,-.11315522,-.13620512,-.160019,-.12416901,-.08503283
1998m9,-.06243337,-.09599808,-.05283443,-.06824858,-.01451824
1998m10,-.00423267,.03515171,.07158951,.07711168,.05385191
1998m11,.0272473,.02238995,.0043062,.01391931,.04981693
1998m12,.01236094,.00352548,-.02210712,-.02070024,.02805768
1999m1,.03579163,.04257817,.04169424,.01470017,.01889745
1999m2,.07717258,.05395453,.0710368,.06777953,.02297572
1999m3,.05314155,.09089461,.05629733,.04921853,.01314088
1999m4,.07275813,.08231694,.08833314,.07362857,.02188299
1999m5,-.00333442,-.029381,-.01575918,-.02454296,-.03568865
1999m6,.04096658,.03563525,.03960391,.05123319,.02146456
1999m7,.0450351,.04280555,.03510996,.02399189,-.01006925
1999m8,.03522164,.04499457,.01310369,-.00342447,-.00237737
1999m9,-.03326405,-.02607159,-.05736608,-.07033995,-.04511552
1999m10,-.00576553,.00099995,-.00325077,-.01252191,.03083379
1999m11,.09214455,.10936115,.14352798,.09717347,.07207621
1999m12,.10372462,.07054347,.00664431,.05049789,.04652672
2000m1,.05081942,.02754396,-.02341525,-.05488967,-.08291818
2000m2,.08499341,.09867719,.0570748,.03372021,-.01015501
2000m3,-.0576651,-.04387073,-.03103579,-.00332497,.06591488
2000m4,-.08480178,-.10401262,-.05535795,.00751545,-.01418641
2000m5,-.0301565,-.08042101,-.03204648,.02671568,-.00228989
2000m6,.08110353,.06534324,.05235173,.05584069,.00939836
2000m7,.0112316,.04852106,.04396386,.03920956,.00692239
2000m8,.06948345,.07424289,.05336988,.01883682,.04668953
2000m9,-.02584199,-.06364361,-.05909933,-.04277804,-.05437704
2000m10,-.02976749,-.02713962,-.02907126,.0181159,.01896527
2000m11,-.01255115,-.02948063,-.09788601,-.0050007,-.05608976
2000m12,.03000937,.03616369,.03044044,.01446316,.00191857
