month,S1,S2,S3,S4,S5
1997m9,.03665145,.02894316,.06864837,.04352713,.06949138
1997m10,.01244991,-.00413939,-.04386178,-.03604482,-.05207238
1997m11,-.01438196,-.01357069,-.01347827,-.00083633,.01359999
1997m12,.01823754,.01599923,.02296359,.01235841,.03558984
1998m1,.0208828,.01786341,-.02050799,.0037051,.02435536
1998m2,.05057148,.05589617,.06979777,.05798706,.06828287
1998m3,.05560589,.06917251,.06337153,.06712238,.05018863
1998m4,.01348628,.00413612,.03696192,.02017953,.01202856
1998m5,.06589703,.04389315,.03961289,.0368508,.01217528
1998m6,-.04250009,-.03751602,-.0848014,-.079344,-.02688125
1998m7,-.05901929,-.0550424,-.03706508,-.04492329,-.01191077
1998m8,-.09405055,-.13632411,-.17273668,-.12700876,-.10394688
1998m9,-.05506428,-.10320206,-.05387077,-.08870181,-.01461719
1998m10,-.01056289,.0332547,.07336259,.08100044,.0502544
1998m11,.01984373,.02804329,.00759966,.02276733,.04550161
1998m12,.01118917,.00104679,-.01788149,-.02462894,.00877086
1999m1,.0445033,.03382955,.04046203,.02000805,.02789129
1999m2,.05935047,.05827414,.06764639,.07234098,.02898525
1999m3,.05382827,.08746578,.05564824,.05316014,.00611806
1999m4,.08799508,.09100008,.09076158,.07581818,.05240782
1999m5,.00365353,-.02153407,-.00901536,-.01332486,-.03637631
1999m6,.04654979,.03909844,.04806787,.05076142,.02453184
1999m7,.04462862,.03871311,.03079503,.01561398,-.00389643
1999m8,.05172314,.05054706,.021188,.0052058,.00401069
1999m9,-.01587387,-.03236219,-.06048306,-.06612438,-.05875481
1999m10,.00740148,.00119868,-.00708574,-.01251249,-.01201753
1999m11,.10220011,.10352648,.12616624,.08577479,.06764039
1999m12,.08171119,.04570261,.00034417,.03394661,.04875059
2000m1,.05903533,-.0177873,-.03872654,-.05940335,-.0759532
2000m2,.03112088,.01859153,-.02028612,-.00042287,.00648244
2000m3,-.01537774,.04201516,.02893007,.03684575,.06098203
2000m4,-.04189305,-.05806133,-.02393658,.03176713,-.00298984
2000m5,-.01313314,-.018864,.00946024,.05061362,.00256086
2000m6,.0571284,.0588324,.04152658,.0474107,.0420061
2000m7,.01235527,.02787173,.05185554,.02968429,.00767154
2000m8,.06171851,.04393415,.04687886,.02583668,.03988979
2000m9,-.01728264,-.05200917,-.04567986,-.04753963,-.05886168
2000m10,-.02632708,-.02883665,-.0274401,.00717154,.00278291
2000m11,-.00959005,-.03754399,-.10601128,-.01671138,-.03769258
2000m12,.02366681,.02865954,.03704262,.0216219,.03116938
2001m1,.05122476,.05989179,.03532964,.02963017,.03237618
2001m2,-.01175885,-.01934999,-.05700557,.00221298,-.04554367
2001m3,-.06563584,-.08158223,-.13020396,-.08781288,-.08913814
2001m4,.05576367,.06016488,.09912907,.05637608,.05131591
2001m5,.04036171,.01803841,-.00090222,.04312486,-.00251032
2001m6,-.01875404,-.02198802,-.106637,-.05505075,-.06226916
2001m7,-.03869488,-.05476475,-.07799468,-.04907137,-.04777124
2001m8,.00961574,.01623628,-.00742717,.0049971,-.05110274
2001m9,-.1477747,-.20831414,-.22975745,-.16137226,-.16114266
2001m10,.07264735,.09925101,.08603965,.06404305,.04338265
2001m11,.1286763,.08648731,.09601254,.10874397,.05878576
2001m12,.01842637,-.02338199,.0272093,.0339371,.00304911
2002m1,-.00762638,.0143193,-.03147153,-.00629166,.00307349
2002m2,-.01484143,-.02546773,-.0025057,-.00565139,.0125988
2002m3,.05267326,.06146979,.02435387,.06850727,.04575375
2002m4,.02910947,.0225491,.02565504,-.02108972,-.0218708
2002m5,.01587267,.00347682,-.01513575,-.02186813,-.0003351
2002m6,-.08015974,-.06840018,-.09563164,-.10781241,-.08503909
2002m7,-.0766866,-.10367325,-.14642305,-.13716077,-.09973194
2002m8,-.00031477,-.02539715,.00092652,.01278594,.00897486
2002m9,-.1053932,-.12392237,-.09790867,-.13260519,-.10637776
2002m10,.01237003,.00687617,-.01333864,.037589,.04851175
2002m11,.08865569,.05802459,.06235454,.03756995,.01231355
2002m12,-.02109894,-.02862866,-.05240161,-.05882603,-.04688639
2003m1,-.03284028,-.06651551,-.03279827,-.07439674,-.0801361
2003m2,-.00017167,-.01485611,-.00466633,.00589238,-.00190617
2003m3,-.01369788,-.02492643,.00650891,-.00325344,-.00959455
2003m4,.10454822,.09461417,.10642671,.13383802,.10791215
2003m5,.13699316,.17722766,.10287983,.10647182,.06422111
2003m6,.07033993,.03516628,.04337689,.03247057,.01517267
2003m7,.08575815,.07878692,.07010991,.081573,.0548434
2003m8,.09728729,.05697944,.04068456,.05620217,.0320125
2003m9,.00483156,-.00718971,-.0067584,-.01931219,-.02363693
2003m10,.05890705,.03752604,.04174046,.05170372,.07308904
2003m11,.00494675,.01863865,-.00434707,.00647601,.00720928
2003m12,.04290309,.00634046,.01906032,.02237012,.02434517
2004m1,.08379053,.06818921,.03929273,.02443927,.01299883
2004m2,.0342346,.02841951,.0381886,.04107496,.05362397
2004m3,-.03101813,-.01178051,.00469939,.00758331,-.00997398
2004m4,.01259364,-.00932136,.00094719,-.00550078,.00716948
2004m5,-.03227935,-.0282193,-.03597101,-.0175836,.00498223
2004m6,.04501931,.04596645,.04129966,.03604801,.02892918
2004m7,-.02617445,-.02707761,-.04223052,-.04561197,-.02864842
2004m8,.00849536,-.01229197,.00105007,.0179062,.00402818
2004m9,.02714015,.03974857,.02722638,.03522554,.02356516
2004m10,.02843378,.02032283,.00469184,.00885976,.02192669
2004m11,.03127287,.03595971,.04189222,.04431973,.03650157
2004m12,.02912053,.04990181,.05302749,.06161601,.02902077
2005m1,.04190242,.0442496,.04114984,.03372524,.01704993
2005m2,.04151047,.00937392,.01422325,.01911168,.02969615
2005m3,-.00980073,-.01574502,-.00584525,-.01744336,-.01206108
2005m4,-.03567748,-.0390062,-.06175785,-.06312912,-.02374441
2005m5,.00350614,.02954952,.06167137,.05900953,.0500754
2005m6,.03732282,.0524776,.03662433,.03717416,.03044574
2005m7,.02628551,.02628728,.0525932,.01934238,.04133495
2005m8,.02754976,.02836463,.01844233,.01938514,.01241641
2005m9,-.00219504,.01608955,.03454431,.03407026,.03361591
2005m10,-.04393305,-.03525004,-.03003764,-.0308632,-.02762548
2005m11,.04702675,.07407159,.086765,.07363805,.0539254
2005m12,.02227845,.03803494,.05476341,.05540949,.05757018
2006m1,.04504304,.04947077,.04570839,.03194652,.03378214
2006m2,.02030632,.03115482,.04151863,.03036338,.02388356
2006m3,.01213422,.03458694,.04198327,.04511411,.03706776
2006m4,.01395156,-.00677592,.00802636,.00380233,.00212344
2006m5,-.0430954,-.02757106,-.04924165,-.05549464,-.0361056
2006m6,-.00465038,.00774491,.0162131,.01567956,.02564903
2006m7,.009465,-.00217877,-.01052433,-.00359335,.02560783
2006m8,.03318058,.03209987,.02143115,.03315479,.01687546
2006m9,.04063437,.04550034,.05226443,.04034834,.02928758
2006m10,.02660973,.03184399,.04549777,.0358753,.03735772
2006m11,-.0082491,.02899973,.03987202,.02308308,.00464862
2006m12,.07001796,.06218982,.05918934,.04300916,.04280456
2007m1,.01393029,.01428091,-.01249288,-.00919519,-.00472201
2007m2,.0028362,.00088413,.00338669,.00117774,.00531253
2007m3,.0144851,.02834724,.05392724,.05708233,.05153657
2007m4,.04113621,.01532513,.01139946,.0200887,.01655668
2007m5,.00937521,.0201864,.01533946,.02199223,.03952945
2007m6,-.01971698,-.0426191,-.06245189,-.04124818,-.02126589
2007m7,-.0322431,-.02683029,-.00235309,-.02119101,-.03857671
2007m8,-.02889388,-.03047177,-.00581319,-.00356806,.00362148
2007m9,-.04069463,-.06019836,-.05076184,-.02626133,.01207452
2007m10,.03088499,.04558999,.07934738,.07509733,.05245536
2007m11,-.11956306,-.12612128,-.09029818,-.07198811,-.05171762
2007m12,-.02419346,-.02916445,-.02376211,-.01271169,.00122099
2008m1,-.06689948,-.08786412,-.06989241,-.07672761,-.07713751
2008m2,.05670086,.03978564,.05142302,.01750015,-.00706662
2008m3,-.05930727,-.04327056,-.0132089,-.00392451,-.0222877
2008m4,.0354874,.03078391,.01689464,.01314637,.02945076
2008m5,-.00708205,-.00887499,-.00832173,-.00244585,.00641915
2008m6,-.07003502,-.09167629,-.10116184,-.08951158,-.09983916
2008m7,-.0562616,-.04352266,-.0319151,-.03469198,-.03154647
2008m8,.0293289,.05793643,.08035463,.08393888,.08152703
2008m9,-.11595789,-.13763019,-.15571109,-.16560498,-.14327548
2008m10,-.2043793,-.19098947,-.2300346,-.23676697,-.1477195
2008m11,-.07803649,-.08957789,-.0647005,-.05031387,-.01716153
2008m12,-.05543659,.03483647,.05776091,.06254601,.05202472
2009m1,.02896418,-.00523757,-.01117882,-.00371545,-.04503174
2009m2,.00278766,-.0248408,-.04030579,-.01639171,-.02366662
2009m3,.02780826,.05566589,.03547991,.06932798,.06229218
2009m4,.32555555,.30070874,.30103,.25431809,.10688772
2009m5,.04721983,.03917824,.06440636,.01363133,.03991682
2009m6,.03059424,.02146764,-.04009682,-.00438678,-.02192497
2009m7,.0349968,.08264805,.0927475,.0942031,.08123461
2009m8,.12706396,.18879264,.12514794,.10960589,.07273106
2009m9,.08567883,.06826245,.05144642,.04839905,.05671278
2009m10,.03028577,-.02233066,-.01455651,-.02463814,-.01145529
2009m11,-.01727216,-.04726702,-.03059898,.01379067,.04500606
2009m12,-.01156429,.03582053,.03577549,.04714722,.05194537
2010m1,.02672619,.02569628,-.00008459,-.00961594,-.03208048
2010m2,-.00649063,-.01970681,.00196958,.01402822,.02903502
2010m3,.03822363,.02215235,.0706077,.10527774,.0812018
2010m4,.07001678,.04737889,.03399677,.02326397,-.00810561
2010m5,-.05866646,-.07636551,-.0851438,-.06276724,-.05357941
2010m6,-.00702047,-.00996464,-.03086319,-.02449852,-.03474129
2010m7,.02382542,.02495884,.05502049,.07405334,.05897747
2010m8,.01246249,.00472591,-.01601339,-.00461222,-.01094002
